Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p774,OK,(firmado),(firmado),notario.,notario.,6,6,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p589,OK,CH_BO_08.,CH_BO_08.,v°..,v°..,40,40,Oui,11,12,Non
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p166,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p802,OK,CH_BO_011.,CH_BO_011.,r°..,r°..,82,82,Oui,23,23,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p8,OK,CH_BO_00,CH_BO_00,CH_BO_00,CH_BO_00,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p239,OK,Las,Las,maravedis.,maravedis.,35,35,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p302,OK,",",",",Pedro,Pedro,5,5,Oui,2,2,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p426,OK,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/624016f92dceb38f5bd8a0b1ea3534f5c2595cc5,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/624016f92dceb38f5bd8a0b1ea3534f5c2595cc5,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/624016f92dceb38f5bd8a0b1ea3534f5c2595cc5,https://api.nakala.fr/embed/10.34847/nkl.baa9h05c/624016f92dceb38f5bd8a0b1ea3534f5c2595cc5,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p749,OK,CH_AO_10.,CH_AO_10.,Canonigos..,Canonigos..,91,91,Oui,29,29,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p496,OK,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/318fb6d9393511ecdf6f93629de3c015ae54f816,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/318fb6d9393511ecdf6f93629de3c015ae54f816,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/318fb6d9393511ecdf6f93629de3c015ae54f816,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/318fb6d9393511ecdf6f93629de3c015ae54f816,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p380,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean_updated_person_updated_place_corrSara.xml,p280,OK,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/0c35ac6d0dad8486b646871fbf9639f1d0a31b0e,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/0c35ac6d0dad8486b646871fbf9639f1d0a31b0e,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/0c35ac6d0dad8486b646871fbf9639f1d0a31b0e,https://api.nakala.fr/embed/10.34847/nkl.a3d8c944/0c35ac6d0dad8486b646871fbf9639f1d0a31b0e,1,1,Oui,1,1,Oui
