Fichier,ID_Paragraphe,Présence,1er Mot (Entrée),1er Mot (Sortie),Dernier Mot (Entrée),Dernier Mot (Sortie),Nb mots (Entrée),Nb mots (Sortie),Nb mots Identique,Nb balises (Entrée),Nb balises (Sortie),Nb balises Identique
semtags_2combiné_T2 clj. San Pedro_clean.xml,p673,OK,CH_BO_09-10-5-,CH_BO_09-10-5-,CH_BO_09-10-5-,CH_BO_09-10-5-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p572,OK,En,En,doss.,doss.,171,171,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p490,OK,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/13ad6a78e3fef0b4c50f1f9b66fcd1d17c3534e9,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/13ad6a78e3fef0b4c50f1f9b66fcd1d17c3534e9,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/13ad6a78e3fef0b4c50f1f9b66fcd1d17c3534e9,https://api.nakala.fr/embed/10.34847/nkl.fafcn59z/13ad6a78e3fef0b4c50f1f9b66fcd1d17c3534e9,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p293,OK,Et,Et,capellan.,capellan.,244,244,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p50,OK,CH_BO_01.,CH_BO_01.,r°..,r°..,48,48,Oui,17,17,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p345,OK,CH_BO_04-3-,CH_BO_04-3-,CH_BO_04-3-,CH_BO_04-3-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p87,OK,CH_BO_01a-14-,CH_BO_01a-14-,CH_BO_01a-14-,CH_BO_01a-14-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p195,OK,CH_BO_02b.,CH_BO_02b.,r°..,r°..,176,176,Oui,36,36,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p89,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p29,OK,CH_BO_01.,CH_BO_01.,r°..,r°..,160,160,Oui,51,51,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p207,OK,CH_BO_02b-5-,CH_BO_02b-5-,CH_BO_02b-5-,CH_BO_02b-5-,1,1,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p876,OK,OF,OF,356bis,356bis,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p658,OK,CH_BO_10.,CH_BO_10.,GeorgeMaldonado..,GeorgeMaldonado..,38,38,Oui,13,13,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p373,OK,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/f30915d5aa63fe73da187bdb43cf3ab0f8146f0c,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/f30915d5aa63fe73da187bdb43cf3ab0f8146f0c,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/f30915d5aa63fe73da187bdb43cf3ab0f8146f0c,https://api.nakala.fr/embed/10.34847/nkl.de90nzaf/f30915d5aa63fe73da187bdb43cf3ab0f8146f0c,1,1,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p619,OK,Callejón,Callejón,8,8,5,5,Oui,3,3,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p281,OK,©,©,J.Passini,J.Passini,2,2,Oui,1,1,Oui
semtags_2combiné_T2 clj. San Pedro_clean.xml,p199,OK,CH_BO_02b-1-,CH_BO_02b-1-,https://api.nakala.fr/embed/10.34847/nkl.d3f4hp3v/dc07204f7ab28d27fae52f057ff908bad8e901f6,https://api.nakala.fr/embed/10.34847/nkl.d3f4hp3v/dc07204f7ab28d27fae52f057ff908bad8e901f6,2,2,Oui,3,3,Oui
